;grid=25x25:extent=(-36.0000,36,-36,36.0000):X_lbl=plate_x:Y_lbl=plate_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   plate_x,   plate_y,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,Imax,Iave,ratio
140,8.999,-20.9998,60,12982181,379989,0,72138,59948993,0,0,0,65.138882,27780,27360,77,119,607,223,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.8545455,53.41205025,2.075459469
141,12.002,-20.9998,60,12968544,366746,0,71936,28143282,0,0,0,65.072402,25500,25080,89,115,509,212,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.3669678,50.62619811,2.061520945
142,15,-20.9998,60,12952354,381923,0,71821,59301265,0,0,0,65.357045,26040,25680,68,132,517,202,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.3794103,50.6688436,2.099503417
143,17.998,-20.9998,60,12979482,382268,0,71987,28567654,0,0,0,65.053856,47040,46380,135,207,1525,486,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.5400138,103.7120249,4.228439415
144,21.001,-20.9998,60,13014475,376065,0,72434,28006501,0,0,0,65.113798,161220,159000,35887,68175,139,307,4688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.0286417,68.72435636,1.673768192
145,23.999,-20.9998,60,12968572,376266,0,71921,28362305,0,0,0,65.164458,102600,101280,15337,27018,3427,741,2440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.65807612,54.12786014,1.268442461
146,27.002,-20.9998,60,12918201,375479,0,71326,28151666,0,0,0,65.208348,46440,45840,2875,4771,54,116,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.98760331,42.26736323,1.466559505
152,-30,-18.0003,60,12905996,373530,0,71153,28489700,0,0,0,64.987328,68160,67320,3750,14230,1353,482,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.4933357,92.65763669,4.732403624
153,-27.002,-18.0003,60,13015552,373878,0,72464,28265284,0,0,0,65.090267,45480,44820,631,2181,1261,429,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.1604491,79.23077609,4.01561697
154,-23.999,-18.0003,60,12978794,370764,0,72044,59949093,0,0,0,65.017416,39120,38580,238,719,1092,353,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.3065932,70.46442512,4.233435421
155,-21.001,-18.0003,60,12943517,367167,0,71505,28659651,0,0,0,65.21522,36060,35580,112,243,1011,327,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.3345794,68.13841084,3.468448655
156,-17.998,-18.0003,60,12921345,357938,0,71264,27936536,0,0,0,65.047615,32940,32460,87,247,817,299,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.7744832,64.60073422,3.046010012
157,-15,-18.0003,60,13012447,374043,0,72355,28367048,0,0,0,65.10895,33000,32520,121,227,776,275,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.8769909,66.5154609,2.659186127
158,-12.002,-18.0003,60,13024117,373203,0,72534,28456777,0,0,0,65.169757,33360,32880,113,194,826,293,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.3589744,67.5581127,2.699290538
159,-8.999,-18.0003,60,12979890,375424,0,72040,28178613,0,0,0,65.030281,34020,33540,117,219,874,308,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.7894737,69.08571812,3.080079059
160,-6.001,-18.0003,60,12949242,373495,0,71814,59949204,0,0,0,65.202781,33840,33360,115,192,916,309,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.6882591,69.22575144,3.029049953
161,-2.99801,-18.0003,60,12920115,375783,0,71431,59925997,0,0,0,65.093937,33900,33420,103,179,834,305,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.9561404,69.45061681,3.181485644
162,0,-18.0003,60,12991288,373617,0,72261,51749780,0,0,0,65.095017,33720,33240,92,174,878,308,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.6374831,69.07351015,3.165286991
163,2.99801,-18.0003,60,12948707,371298,0,71746,59948924,0,0,0,64.929665,33540,33060,114,179,865,297,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.3854588,68.52306723,3.187035661
164,6.001,-18.0003,60,12916998,370603,0,71300,59948835,0,0,0,65.079142,33420,32940,101,160,845,296,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.9770215,68.35670161,3.86175774
165,8.999,-18.0003,60,12887509,366115,0,70961,59948887,0,0,0,65.090273,32580,32040,95,158,802,273,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.7206478,65.65453937,2.493668364
