;grid=31x31:extent=(-44.0000,44,-44,44.0000):X_lbl=plate_x:Y_lbl=plate_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   plate_x,   plate_y,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,Imax,Iave,Ratio
162,-23.4661,-29.3336,60,13368847,832975,0,76536,28618953,0,0,0,65.043008,345600,337740,215520,5796,1266,1302,31043,856,261917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.0655036,162.9160536,1.860255616
163,-20.5328,-29.3336,60,13416987,831191,0,77093,28650191,0,0,0,65.081691,356700,348660,226376,5671,1293,1215,32630,886,274375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.9944042,164.6580264,1.846216737
164,-17.5996,-29.3336,60,13371604,825666,0,76538,28724384,0,0,0,65.18184,366240,357780,237670,5426,1167,1164,33716,874,286419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.9631336,165.4827718,1.830783533
165,-14.6663,-29.3336,60,13319293,823298,0,75886,28611117,0,0,0,65.181999,378780,369780,249675,5356,1223,1055,35748,844,300538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.4133724,167.0492169,1.822297512
166,-11.733,-29.3336,60,13291306,819704,0,75585,28864936,0,0,0,65.087874,391260,381540,261448,5073,1194,1107,37585,800,313974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.2768371,168.4504086,1.824138271
167,-8.79978,-29.3336,60,13377257,820558,0,76620,28753667,0,0,0,65.097783,407100,396960,276192,5054,1224,1003,39549,845,330815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.0929888,170.8245666,1.838687462
168,-5.86651,-29.3336,60,13380233,810666,0,76651,28706776,0,0,0,64.951294,417120,406740,285654,4806,1118,987,41630,778,341943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.7577354,171.2199643,1.8383238
169,-2.93325,-29.3336,60,13362851,795366,0,76447,28822709,0,0,0,65.156401,420840,410340,293195,4518,1070,923,42146,762,349740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.1782423,170.0716155,1.817929708
170,0,-29.3336,60,13361119,815046,0,76378,28712266,0,0,0,65.137197,449040,437400,315978,4574,1155,959,45472,845,376264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.2304147,176.7012625,1.789633024
171,2.93329,-29.3336,60,13399166,812596,0,76832,28539807,0,0,0,65.050573,465300,452700,330749,4429,1109,914,47744,837,393264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.6161949,178.9751712,1.752288838
